ClusterID,NumPixel,AvgSimilarity, AvgR,AvgG,AvgB
636,3,0.4824,113,129,72
637,4,0.6604,106,122,68
638,2,0.9693,105,122,67
639,8,0.9866,96,117,55
640,13,0.9777,41,61,42
642,3,0.0000,116,135,129
644,2,0.0000,150,165,170
645,2,0.0000,173,188,193
646,2,1.0000,160,172,161
647,2,0.9829,156,165,148
648,3,0.4809,141,145,112
651,0,0.0000,0,0,0
652,9,0.7295,117,133,74
657,4,0.9864,89,111,51
659,3,0.9963,68,89,76
660,4,0.6633,78,99,86
661,3,0.4899,89,109,100
663,2,0.0000,133,153,147
666,3,0.4824,176,194,197
667,2,0.9920,169,182,174
668,3,0.5000,158,161,135
670,2,0.0000,132,144,83
672,6,0.9868,121,136,76
673,7,0.8131,119,135,75
675,4,0.3333,114,132,74
676,6,0.5946,110,130,71
678,2,1.0000,109,128,72
679,2,1.0000,107,126,70
681,3,0.9679,99,118,58
683,6,0.5842,56,80,58
686,2,0.0000,142,163,157
687,3,0.4899,156,176,174
688,3,0.5000,174,181,164
689,2,0.9821,170,173,150
691,2,0.0000,132,145,83
692,2,0.9934,128,142,80
693,2,1.0000,123,137,76
694,2,0.9844,106,124,64
695,2,0.9660,104,122,62
696,3,0.4813,102,120,60
697,6,0.7848,98,119,56
699,3,0.4876,89,110,97
700,4,0.0000,105,124,116
701,0,0.0000,0,0,0
704,2,1.0000,186,190,178
707,2,0.0000,133,147,85
708,10,0.9797,124,141,77
709,3,1.0000,122,137,76
716,4,1.0000,82,107,52
720,0,0.0000,0,0,0
721,2,0.9868,148,156,158
724,3,0.9962,206,196,193
725,2,0.9928,197,191,186
729,0,0.0000,0,0,0
730,2,1.0000,125,141,94
731,2,1.0000,124,142,89
733,3,0.4895,123,140,72
735,2,0.9646,117,136,72
736,3,0.9714,115,136,74
737,6,0.7902,113,134,75
739,23,0.8875,110,133,65
741,2990,0.9845,104,154,64
742,4,0.9986,101,125,58
743,2,1.0000,101,124,57
744,33,0.9875,84,114,51
745,2,0.9721,34,63,24
746,2,0.9701,39,69,33
747,2,0.0000,71,97,72
750,0,0.0000,0,0,0
751,2,0.0000,170,173,180
753,6,0.7788,194,196,207
754,9,0.9813,195,176,180
756,2,0.0000,155,164,151
757,0,0.0000,0,0,0
759,4,0.3292,130,146,97
760,4,0.6538,120,141,73
761,6,0.9728,118,140,76
762,3,0.4807,118,138,71
764,2,1.0000,87,112,90
765,2,1.0000,101,124,109
766,6,0.2000,125,142,136
767,6,0.7954,141,156,156
768,3,1.0000,159,169,173
769,4,0.6650,178,183,192
771,2,0.0000,174,178,167
772,0,0.0000,0,0,0
774,4,0.6571,134,151,104
775,14,0.9828,125,149,80
776,5,0.9854,124,144,76
779,2,1.0000,107,130,62
780,4,0.6655,98,125,56
781,3,1.0000,46,75,29
782,5,0.7500,57,84,55
783,7,0.4995,69,94,70
785,6,0.7907,167,154,156
787,3,0.9809,178,171,176
789,0,0.0000,0,0,0
791,4,0.0000,149,165,125
792,4,0.3303,140,156,110
794,7,0.9778,123,147,76
796,0,0.0000,0,0,0
797,3,0.0000,115,137,77
801,7,0.8281,92,123,55
802,2,1.0000,89,121,56
803,7,1.0000,88,120,55
804,4,0.6667,78,101,85
805,4,0.6578,95,115,105
806,3,1.0000,113,131,128
807,4,0.9857,228,158,166
808,5,0.9682,235,163,176
809,3,1.0000,115,103,103
810,3,0.9973,105,98,99
811,2,1.0000,137,134,137
812,3,0.0000,185,185,175
814,2,0.0000,160,175,136
815,2,0.9760,145,160,115
816,7,0.8147,128,151,85
817,4,0.9856,121,147,77
818,11,0.9829,119,144,77
820,5,0.7280,116,139,75
821,18,0.9196,109,137,66
822,2,0.9695,101,129,60
823,2,1.0000,97,127,57
824,4,0.9975,93,125,57
825,2,1.0000,92,124,57
826,7,1.0000,91,123,56
827,5,0.7316,169,180,185
828,5,0.9924,185,194,203
829,5,0.9864,200,207,218
830,3,0.9746,230,145,155
831,3,1.0000,219,134,146
832,2,0.9701,223,133,150
833,3,0.9831,232,146,163
834,5,0.9944,77,74,74
