ClusterID,NumPixel,minSimilarity,AvgSimilarity, AvgR,AvgG,AvgB
1161,3,0.9964,0.9971,85,127,162
1162,5,0.8735,0.9447,88,129,161
1163,2,0.9975,0.9975,84,132,163
1164,19,1.0000,1.0000,86,135,168
1165,5,0.9709,0.9889,101,150,188
1166,4,0.9367,0.9724,100,151,185
1167,41,0.9136,0.9839,101,151,181
1168,9,0.2067,0.8404,99,144,175
1169,3,0.8442,0.9221,98,121,144
1170,2,1.0000,1.0000,85,127,154
1171,12,0.5838,0.8985,86,122,140
1172,3,0.8966,0.9283,88,132,162
1173,37,0.8900,0.9896,84,131,164
1174,9,0.9891,0.9986,101,155,189
1175,6,0.9855,0.9931,100,155,188
1176,4,1.0000,1.0000,100,152,188
1177,4,0.6943,0.8463,99,134,160
1178,2,0.8421,0.8421,81,93,106
1179,3,0.9534,0.9645,41,50,65
1180,2,1.0000,1.0000,27,12,19
1181,2,0.9671,0.9671,56,79,104
1182,2,0.9793,0.9793,89,126,148
1183,4,1.0000,1.0000,96,132,159
1184,4,0.9447,0.9816,87,131,162
1185,6,1.0000,1.0000,86,134,168
1186,6,1.0000,1.0000,117,167,200
1187,2,1.0000,1.0000,107,158,191
1188,3,0.9417,0.9708,101,153,187
1189,4,0.3879,0.6604,101,142,165
1190,3,0.4756,0.7378,104,144,168
1191,2,1.0000,1.0000,27,31,44
1192,2,1.0000,1.0000,27,18,29
1193,2,1.0000,1.0000,27,16,20
1194,7,0.7117,0.8664,93,122,145
1195,2,0.7265,0.7265,56,73,86
1196,2,1.0000,1.0000,85,106,120
1197,8,1.0000,1.0000,86,134,166
1198,3,1.0000,1.0000,96,131,159
1199,2,1.0000,1.0000,86,132,166
1200,4,1.0000,1.0000,86,130,165
1201,3,1.0000,1.0000,109,158,191
1202,23,0.9676,0.9905,103,155,188
1203,4,0.9972,0.9991,106,158,188
1204,9,0.9944,0.9972,106,159,189
1205,2,0.9942,0.9942,106,158,189
1206,18,0.9177,0.9822,102,149,181
1207,2,0.9372,0.9372,102,150,170
1208,3,0.9671,0.9836,104,149,177
1209,2,0.8180,0.8180,104,148,171
1210,14,0.5168,0.8864,103,142,168
1211,3,0.4364,0.6367,97,120,142
1212,2,1.0000,1.0000,65,83,103
1213,2,0.9886,0.9886,36,49,67
1214,3,1.0000,1.0000,87,131,166
1215,2,1.0000,1.0000,108,155,188
1216,5,0.9307,0.9681,101,148,178
1217,5,0.9413,0.9596,103,147,177
1218,5,0.8491,0.9576,103,145,174
1219,8,0.8837,0.9255,106,135,161
1220,2,1.0000,1.0000,106,134,157
1221,7,0.7989,0.8828,103,120,137
1222,11,0.8522,0.9420,71,82,98
1223,144,0.6746,0.9834,34,20,31
1224,4,0.9744,0.9877,36,42,56
1225,8,0.9195,0.9730,42,58,75
1226,2,1.0000,1.0000,84,127,160
